Cn,Ch,Zy,Py
00001,八,ㄅㄚ,bā
00002,扒,(一)ㄅㄚ,(一)bā
00003,叭,ㄅㄚ,bā
00004,巴,ㄅㄚ,bā
00005,吧,(一)ㄅㄚ,(一)bā
00006,芭,ㄅㄚ,bā
00007,疤,ㄅㄚ,bā
00008,羓,ㄅㄚ,bā
00009,粑,ㄅㄚ,bā
00010,笆,ㄅㄚ,bā
00011,豝,ㄅㄚ,bā
00012,鈀,(二)ㄅㄚ,(二)bā
00013,捌,ㄅㄚ,bā
00014,拔,ㄅㄚˊ,bá
00015,茇,(一)ㄅㄚˊ,(一)bá
00016,胈,ㄅㄚˊ,bá
00017,軷,(一)ㄅㄚˊ,(一)bá
00018,菝,ㄅㄚˊ,bá
00019,跋,ㄅㄚˊ,bá
00020,鈸,(一)ㄅㄚˊ,(一)bá
00021,魃,ㄅㄚˊ,bá
00022,鼥,ㄅㄚˊ,bá
00023,把,(一)ㄅㄚˇ,(一)bǎ
00024,鈀,(一)ㄅㄚˇ,(一)bǎ
00025,靶,ㄅㄚˇ,bǎ
00026,把,(二)ㄅㄚˋ,(二)bà
00027,弝,ㄅㄚˋ,bà
00028,爸,ㄅㄚˋ,bà
00029,耙,(二)（又音）ㄅㄚˋ,(二)（又音）bà
00030,伯,(三)ㄅㄚˋ,(三)bà
00031,罷,(一)ㄅㄚˋ,(一)bà
00032,矲,ㄅㄚˋ,bà
00033,霸,(一)ㄅㄚˋ,(一)bà
00034,灞,ㄅㄚˋ,bà
00035,壩,ㄅㄚˋ,bà
00036,吧,(二)˙ㄅㄚ,(二)ba
00037,杷,(二)（又音）˙ㄅㄚ,(二)（又音）ba
00038,琶,(二)（又音）˙ㄅㄚ,(二)（又音）ba
00039,罷,(二)˙ㄅㄚ,(二)ba
00040,癶,ㄅㄛ,bō
00041,撥,ㄅㄛ,bō
00042,蹳,ㄅㄛ,bō
00043,鱍,ㄅㄛ,bō
00044,波,(一)ㄅㄛ,(一)bō
00045,玻,ㄅㄛ,bō
00046,啵,(一)ㄅㄛ,(一)bō
00047,菠,ㄅㄛ,bō
00048,碆,(一)ㄅㄛ,(一)bō
00049,砵,ㄅㄛ,bō
00050,缽,ㄅㄛ,bō
00051,趵,(二)ㄅㄛ,(二)bō
00052,般,(三)ㄅㄛ,(三)bō
00053,剝,(一)（讀音）ㄅㄛ,(一)（讀音）bō
00054,嶓,ㄅㄛ,bō
00055,餑,ㄅㄛ,bō
00056,嚗,ㄅㄛ,bō
00057,犮,ㄅㄛˊ,bó
00058,軷,(二)（又音）ㄅㄛˊ,(二)（又音）bó
00059,鈸,(二)（又音）ㄅㄛˊ,(二)（又音）bó
00060,白,(二)（讀音）ㄅㄛˊ,(二)（讀音）bó
00061,百,(二)（讀音）ㄅㄛˊ,(二)（讀音）bó
00062,伯,(一)（讀音）ㄅㄛˊ,(一)（讀音）bó
00063,泊,(一)ㄅㄛˊ,(一)bó
